optimizer,epoch,val_loss,val_accuracy,val_f1_score,val_auc,val_loss_std_err,val_accuracy_std_err,val_f1_score_std_err,val_auc_std_err
AdamW,1,1.0382989645004272,0.005839378573000431,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,2,1.0047439336776733,0.013387597166001797,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,3,0.9951663613319397,0.007818351499736309,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,4,0.8978625535964966,0.10262422263622284,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,5,1.0006284713745117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AdamW,6,,,,,,,,
AdamW,7,,,,,,,,
AdamW,8,,,,,,,,
AdamW,9,,,,,,,,
AdamW,10,,,,,,,,
AdamW,11,,,,,,,,
AdamW,12,,,,,,,,
AdamW,13,,,,,,,,
AdamW,14,,,,,,,,
AdamW,15,,,,,,,,
AdamW,16,,,,,,,,
AdamW,17,,,,,,,,
AdamW,18,,,,,,,,
AdamW,19,,,,,,,,
AdamW,20,,,,,,,,
AdamW,21,,,,,,,,
AdamW,22,,,,,,,,
AdamW,23,,,,,,,,
AdamW,24,,,,,,,,
AdamW,25,,,,,,,,
AdamW,26,,,,,,,,
AdamW,27,,,,,,,,
AdamW,28,,,,,,,,
AdamW,29,,,,,,,,
AdamW,30,,,,,,,,
AdamW,31,,,,,,,,
AdamW,32,,,,,,,,
AdamW,33,,,,,,,,
AdamW,34,,,,,,,,
AdamW,35,,,,,,,,
AdamW,36,,,,,,,,
AdamW,37,,,,,,,,
AdamW,38,,,,,,,,
AdamW,39,,,,,,,,
AdamW,40,,,,,,,,
AdamW,41,,,,,,,,
AdamW,42,,,,,,,,
AdamW,43,,,,,,,,
AdamW,44,,,,,,,,
AdamW,45,,,,,,,,
AdamW,46,,,,,,,,
AdamW,47,,,,,,,,
AdamW,48,,,,,,,,
AdamW,49,,,,,,,,
AdamW,50,,,,,,,,
